patient,seed,depth,training_ratio,kernel_size,pi_rmse,mu_rmse,sigma_rmse
patient_3,217,149,1,9,0.02368377,0.012806308,0.00802646
patient_3,218,149,0.01,17,0.07398239,0.039654676,0.02108101
patient_3,218,149,0.1,11,0.045542788,0.022682846,0.01381396
patient_3,218,149,0.5,9,0.03019115,0.016576659,0.01142853
patient_3,218,149,1,9,0.023688933,0.012872821,0.008120176
patient_3,219,149,0.01,17,0.07424972,0.041497506,0.023041453
patient_3,219,149,0.1,11,0.045427356,0.022181418,0.013589492
patient_3,219,149,0.5,9,0.030227523,0.016477566,0.011548185
patient_3,219,149,1,9,0.023711616,0.012886976,0.008118098
patient_3,220,149,0.01,17,0.07458096,0.041771095,0.022978041
patient_3,220,149,0.1,11,0.04541754,0.022243874,0.013467635
patient_3,220,149,0.5,9,0.030939834,0.01783682,0.012127955
patient_3,220,149,1,9,0.024620363,0.015274833,0.010900974
patient_3,221,149,0.01,17,0.07442428,0.04134107,0.023177614
patient_3,221,149,0.1,11,0.045679722,0.022878787,0.0137981
patient_3,221,149,0.5,9,0.03025289,0.016621172,0.011429742
patient_3,221,149,1,9,0.023694174,0.012857239,0.008093694
patient_3,222,149,0.01,17,0.07417213,0.04166088,0.023271913
patient_3,222,149,0.1,11,0.04571668,0.022794425,0.013800107
patient_3,222,149,0.5,9,0.030254472,0.016603796,0.011484232
patient_3,222,149,1,9,0.02372759,0.012922912,0.00809756
patient_3,223,149,0.01,17,0.073781714,0.041396722,0.023115778
patient_3,223,149,0.1,11,0.045613535,0.022829652,0.013663658
patient_3,223,149,0.5,9,0.0294057,0.014198693,0.008812884
patient_3,223,149,1,9,0.024642842,0.015251969,0.010821479
patient_3,224,149,0.01,17,0.0737427,0.041615024,0.022728892
patient_3,224,149,0.1,11,0.04530561,0.02209865,0.013447844
patient_3,224,149,0.5,9,0.029378446,0.014143275,0.008821906
patient_3,224,149,1,9,0.024652222,0.015269422,0.010794034
patient_3,225,149,0.01,17,0.07423701,0.041397966,0.022960994
patient_3,225,149,0.1,11,0.045484025,0.022206025,0.013400842
patient_3,225,149,0.5,9,0.03022717,0.016507847,0.011461551
patient_3,225,149,1,9,0.023691686,0.01283271,0.008071465
patient_3,226,149,0.01,17,0.07402375,0.041857686,0.022955151
patient_3,226,149,0.1,11,0.04563896,0.022757795,0.013712519
patient_3,226,149,0.5,9,0.030358933,0.01669919,0.011370629
patient_3,226,149,1,9,0.023723409,0.012902956,0.008065674
patient_3,227,149,0.01,17,0.07409967,0.04134516,0.023126874
patient_3,227,149,0.1,11,0.045542542,0.022308413,0.013412886
patient_3,227,149,0.5,9,0.03024282,0.016554823,0.011419454
patient_3,227,149,1,9,0.02460575,0.0152012,0.010834071
patient_3,228,149,0.01,17,0.074299924,0.041518923,0.023043748
patient_3,228,149,0.1,11,0.045637395,0.02271076,0.013821448
patient_3,228,149,0.5,9,0.030247672,0.016631488,0.011438734
patient_3,228,149,1,9,0.023682466,0.012852499,0.008095272
patient_3,229,149,0.01,17,0.07412847,0.041466568,0.022944445
patient_3,229,149,0.1,11,0.04563675,0.02287884,0.01383824
patient_3,229,149,0.5,9,0.030290017,0.016654419,0.011421739
patient_3,229,149,1,9,0.0237279,0.012910991,0.008090533
patient_3,230,149,0.01,17,0.07410164,0.041168377,0.023010299
patient_3,230,149,0.1,11,0.045568783,0.022773765,0.013766154
patient_3,230,149,0.5,9,0.030874936,0.017864643,0.012146583
patient_3,230,149,1,9,0.02463358,0.015213907,0.010887532
patient_3,231,149,0.01,17,0.07385104,0.041608065,0.02289184
patient_3,231,149,0.1,11,0.04553918,0.022697538,0.013719169
patient_3,231,149,0.5,9,0.030904682,0.017772967,0.012125341
patient_3,231,149,1,9,0.023661269,0.012767461,0.007998907
patient_3,232,149,0.01,17,0.07409497,0.04167837,0.02297953
patient_3,232,149,0.1,11,0.04568586,0.022695703,0.013826884
patient_3,232,149,0.5,9,0.03027245,0.01658482,0.011476491
patient_3,232,149,1,9,0.024622349,0.015189665,0.010851244
patient_3,233,149,0.01,17,0.07421426,0.041475974,0.022973398
patient_3,233,149,0.1,11,0.045594644,0.022934154,0.013794309
patient_3,233,149,0.5,9,0.030273728,0.016583197,0.011427437
patient_3,233,149,1,9,0.024620226,0.015198903,0.010853357
patient_3,234,149,0.01,17,0.07430139,0.04193945,0.023277368
patient_3,234,149,0.1,11,0.045417614,0.022151329,0.013350565
patient_3,234,149,0.5,9,0.029427333,0.014189692,0.008842069
patient_3,234,149,1,9,0.023689453,0.012820309,0.008072558
patient_3,235,149,0.01,17,0.07444719,0.04173627,0.02316382
patient_3,235,149,0.1,11,0.04543368,0.02218081,0.013406884
patient_3,235,149,0.5,9,0.030255275,0.016573917,0.011438244
patient_3,235,149,1,9,0.024617601,0.015225271,0.010867615
patient_3,236,149,0.01,17,0.07393294,0.041772544,0.023399575
patient_3,236,149,0.1,11,0.045579933,0.022956274,0.013833129
patient_3,236,149,0.5,9,0.030221436,0.016578699,0.01143551
patient_3,236,149,1,9,0.023756418,0.012927395,0.008121391
patient_3,237,149,0.01,17,0.0739509,0.040841505,0.023025379
patient_3,237,149,0.1,11,0.0455284,0.022801993,0.013799795
patient_3,237,149,0.5,9,0.030191848,0.016459858,0.011506529
patient_3,237,149,1,9,0.023708424,0.012857271,0.008097209
patient_3,238,149,0.01,17,0.07447196,0.04177846,0.022808442
patient_3,238,149,0.1,11,0.04582469,0.02284618,0.013672285
patient_3,238,149,0.5,9,0.030266628,0.01654685,0.011483808
patient_3,238,149,1,9,0.023712754,0.012889159,0.008086187
patient_3,239,149,0.01,17,0.074051544,0.04156981,0.022902044
patient_3,239,149,0.1,11,0.045659058,0.022792501,0.013724214
patient_3,239,149,0.5,9,0.030260356,0.016549494,0.01157788
patient_3,239,149,1,9,0.024672193,0.015287153,0.010874166
patient_3,240,149,0.01,17,0.073812306,0.041188892,0.022953667
patient_3,240,149,0.1,11,0.045645345,0.02282586,0.013684734
patient_3,240,149,0.5,9,0.030827409,0.017679008,0.012189786
patient_3,240,149,1,9,0.024626676,0.015244692,0.010801021
patient_3,241,149,0.01,17,0.07418576,0.04150276,0.023452708
patient_3,241,149,0.1,11,0.04558401,0.022924505,0.013780323
patient_3,241,149,0.5,9,0.02944789,0.014272714,0.00886842
patient_3,241,149,1,9,0.023709554,0.012873744,0.008104672
patient_3,242,149,0.01,17,0.07369494,0.04176003,0.023126232
patient_3,242,149,0.1,11,0.04561911,0.022715315,0.013569684
patient_3,242,149,0.5,9,0.03026239,0.016591234,0.011493725
patient_3,242,149,1,9,0.024654256,0.015255707,0.010797014
patient_3,243,149,0.01,17,0.07384876,0.041414745,0.02355866
patient_3,243,149,0.1,11,0.045671552,0.022730688,0.013717015
patient_3,243,149,0.5,9,0.03026373,0.016586905,0.011442759
patient_3,243,149,1,9,0.024612535,0.01522735,0.010865457
patient_3,244,149,0.01,17,0.07372673,0.04137174,0.022962155
patient_3,244,149,0.1,11,0.045287974,0.022112006,0.013428452
patient_3,244,149,0.5,9,0.030215196,0.016478475,0.011543166
patient_3,244,149,1,9,0.02371747,0.012839084,0.008078571
patient_3,245,149,0.01,17,0.07446879,0.041504215,0.022966268
patient_3,245,149,0.1,11,0.045711312,0.02284272,0.013728891
patient_3,245,149,0.5,9,0.030889278,0.017781291,0.012119464
patient_3,245,149,1,9,0.023708824,0.012863352,0.00807811
patient_3,246,149,0.01,17,0.07381104,0.04145854,0.02281483
patient_3,246,149,0.1,11,0.045569897,0.0228537,0.013729378
patient_3,246,149,0.5,9,0.030201452,0.016524415,0.011505693
patient_3,246,149,1,9,0.023692915,0.012853853,0.008057206
patient_3,247,149,0.01,17,0.07405371,0.041363318,0.023101458
patient_3,247,149,0.1,11,0.04565672,0.0228371,0.013877793
patient_3,247,149,0.5,9,0.030805603,0.017658383,0.012218325
patient_3,247,149,1,9,0.025581483,0.016695544,0.01187082
patient_3,248,149,0.01,17,0.073871315,0.041942783,0.022842085
patient_3,248,149,0.1,11,0.045468222,0.022234134,0.013509689
patient_3,248,149,0.5,9,0.030186674,0.016577136,0.01147233
patient_3,248,149,1,9,0.023726992,0.012919742,0.008104016
patient_3,249,149,0.01,17,0.07367946,0.04144196,0.023017986
patient_3,249,149,0.1,11,0.04533124,0.022189852,0.013429862
patient_3,249,149,0.5,9,0.03027282,0.016547503,0.011433041
patient_3,249,149,1,9,0.024652623,0.015223,0.010878966
patient_3,250,149,0.01,17,0.07433383,0.04121229,0.022913743
patient_3,250,149,0.1,11,0.045555834,0.022670997,0.013848101
patient_3,250,149,0.5,9,0.030181998,0.016459329,0.011520727
patient_3,250,149,1,9,0.023695664,0.012863764,0.008120032
patient_3,251,149,0.01,17,0.074025124,0.041543555,0.022810703
patient_3,251,149,0.1,11,0.045571513,0.022752028,0.013808344
patient_3,251,149,0.5,9,0.030848378,0.017725613,0.012190861
patient_3,251,149,1,9,0.023705222,0.012849049,0.008030841
patient_3,252,149,0.01,17,0.07402708,0.041334208,0.023047745
patient_3,252,149,0.1,11,0.045481745,0.022789778,0.013852434
patient_3,252,149,0.5,9,0.030308003,0.016575567,0.011434017
patient_3,252,149,1,9,0.024586225,0.015167591,0.01087583
patient_3,253,149,0.01,17,0.07409216,0.04173444,0.023056319
patient_3,253,149,0.1,11,0.045613267,0.02292187,0.01373771
patient_3,253,149,0.5,9,0.03026018,0.016588751,0.011433117
patient_3,253,149,1,9,0.024624035,0.015210038,0.010878053
patient_3,254,149,0.01,17,0.07411147,0.041590843,0.02277765
patient_3,254,149,0.1,11,0.04556384,0.022759844,0.01373711
patient_3,254,149,0.5,9,0.030898917,0.017725725,0.012176531
patient_3,254,149,1,9,0.024599401,0.015223295,0.010841689
patient_3,255,149,0.01,17,0.07395551,0.04173165,0.023309775
patient_3,255,149,0.1,11,0.045476098,0.022211097,0.013234265
patient_3,255,149,0.5,9,0.030202216,0.01659314,0.011388526
patient_3,255,149,1,9,0.024596775,0.015177377,0.010847461
patient_3,256,149,0.01,17,0.07384698,0.041483708,0.022977045
patient_3,256,149,0.1,11,0.045611743,0.022878928,0.013870033
patient_3,256,149,0.5,9,0.030813735,0.01781163,0.0121808
patient_3,256,149,1,9,0.023717977,0.01290175,0.008141534
patient_3,257,149,0.01,17,0.07433139,0.04155631,0.023096023
patient_3,257,149,0.1,11,0.04570549,0.022657245,0.013624245
patient_3,257,149,0.5,9,0.030264014,0.016614674,0.01138076
patient_3,257,149,1,9,0.02466613,0.015328222,0.010787049
patient_3,258,149,0.01,17,0.07403722,0.041553434,0.023416553
patient_3,258,149,0.1,11,0.045685735,0.022836676,0.013789897
patient_3,258,149,0.5,9,0.02941768,0.014238666,0.008842643
patient_3,258,149,1,9,0.024624774,0.015214643,0.01082803
patient_3,259,149,0.01,17,0.07407888,0.041579235,0.0230907
patient_3,259,149,0.1,11,0.045624238,0.022764768,0.013605041
patient_3,259,149,0.5,9,0.029481154,0.01426282,0.00883786
patient_3,259,149,1,9,0.0246668,0.015302373,0.010829787
patient_3,260,149,0.01,17,0.0742337,0.041678187,0.023160463
patient_3,260,149,0.1,11,0.045510855,0.022732714,0.01375701
patient_3,260,149,0.5,9,0.030815547,0.017700883,0.01219609
patient_3,260,149,1,9,0.024643667,0.01525648,0.010810108
patient_3,261,149,0.01,17,0.07438284,0.041630104,0.023171805
patient_3,261,149,0.1,11,0.045571037,0.022679081,0.013734226
patient_3,261,149,0.5,9,0.029426992,0.014213726,0.008825939
patient_3,261,149,1,9,0.023720717,0.0128861,0.008091337
patient_3,262,149,0.01,17,0.07395933,0.041496314,0.022734182
patient_3,262,149,0.1,11,0.045637205,0.022845525,0.013778608
patient_3,262,149,0.5,9,0.030223016,0.016500935,0.011413198
patient_3,262,149,1,9,0.024601044,0.015190623,0.010907369
patient_3,263,149,0.01,17,0.07386324,0.041587297,0.023053592
patient_3,263,149,0.1,11,0.04525695,0.022056162,0.013341626
patient_3,263,149,0.5,9,0.030227225,0.01653873,0.011511273
patient_3,263,149,1,9,0.024588672,0.015221459,0.010849357
patient_3,264,149,0.01,17,0.07394923,0.04164562,0.023040118
patient_3,264,149,0.1,11,0.04536624,0.022159545,0.013499742
patient_3,264,149,0.5,9,0.030184224,0.01649537,0.011463353
patient_3,264,149,1,9,0.024598699,0.01521145,0.010800354
patient_3,265,149,0.01,17,0.07447283,0.041546304,0.023072708
patient_3,265,149,0.1,11,0.04547709,0.0226544,0.013583611
patient_3,265,149,0.5,9,0.030244093,0.01663797,0.011484926
patient_3,265,149,1,9,0.024652781,0.015215833,0.010916199
patient_3,266,149,0.01,17,0.07424695,0.041585244,0.023364697
patient_3,266,149,0.1,11,0.045527283,0.022228431,0.013382174
patient_3,266,149,0.5,9,0.030153584,0.016476093,0.011422956
patient_3,266,149,1,9,0.024567824,0.015171023,0.010820535
patient_3,267,149,0.01,17,0.074195445,0.041620918,0.023043731
patient_3,267,149,0.1,11,0.045327194,0.022182647,0.013445963
patient_3,267,149,0.5,9,0.030277103,0.01669205,0.011389166
patient_3,267,149,1,9,0.024635404,0.015235689,0.01088647
patient_3,268,149,0.01,17,0.073928915,0.042058207,0.023080252
patient_3,268,149,0.1,11,0.045509666,0.022778152,0.01367058
patient_3,268,149,0.5,9,0.030921625,0.017878974,0.012127138
patient_3,268,149,1,9,0.024597857,0.015222383,0.010812365
patient_3,269,149,0.01,17,0.07406651,0.041349426,0.023197018
patient_3,269,149,0.1,11,0.045435514,0.022218017,0.013389241
patient_3,269,149,0.5,9,0.030163964,0.016477821,0.011422785
patient_3,269,149,1,9,0.023675453,0.012774491,0.00803095
patient_3,270,149,0.01,17,0.07420076,0.039816182,0.021200826
patient_3,270,149,0.1,11,0.045712512,0.02273622,0.0138316
patient_3,270,149,0.5,9,0.030894266,0.01767484,0.012164635
patient_3,270,149,1,9,0.023680089,0.012794266,0.008018756
patient_3,271,149,0.01,17,0.07382809,0.041809645,0.02300186
patient_3,271,149,0.1,11,0.045643747,0.022904819,0.013749082
patient_3,271,149,0.5,9,0.030205289,0.016518796,0.011528839
patient_3,271,149,1,9,0.023725914,0.012875316,0.008132312
patient_3,272,149,0.01,17,0.07401515,0.04128939,0.022815458
patient_3,272,149,0.1,11,0.04561543,0.022823393,0.013701932
patient_3,272,149,0.5,9,0.030309929,0.01653791,0.011442852
patient_3,272,149,1,9,0.024635611,0.015212954,0.01089026
patient_3,273,149,0.01,17,0.07388948,0.04150507,0.023057383
patient_3,273,149,0.1,11,0.045643345,0.022659233,0.013615636
patient_3,273,149,0.5,9,0.030297099,0.016533688,0.011418254
patient_3,273,149,1,9,0.024586892,0.015194327,0.010907263
patient_3,274,149,0.01,17,0.07434798,0.041249532,0.022720244
patient_3,274,149,0.1,11,0.045649964,0.022841569,0.013701468
patient_3,274,149,0.5,9,0.030896863,0.01790061,0.012138297
patient_3,274,149,1,9,0.02558153,0.01671938,0.011864249
patient_3,275,149,0.01,17,0.07417734,0.041169815,0.022882078
patient_3,275,149,0.1,11,0.045565203,0.022866994,0.013814029
patient_3,275,149,0.5,9,0.030226016,0.016519789,0.011476592
patient_3,275,149,1,9,0.023718946,0.012885814,0.008100768
patient_3,276,149,0.01,17,0.07370926,0.041875083,0.023264999
patient_3,276,149,0.1,11,0.045656525,0.022826727,0.01378252
patient_3,276,149,0.5,9,0.030209815,0.016494589,0.011501657
patient_3,276,149,1,9,0.024670117,0.015277624,0.010841023
patient_3,277,149,0.01,17,0.07396695,0.04121317,0.023015779
patient_3,277,149,0.1,11,0.045638267,0.022866512,0.013662967
patient_3,277,149,0.5,9,0.030231085,0.016504712,0.011433875
patient_3,277,149,1,9,0.024597378,0.015165924,0.010826103
patient_3,278,149,0.01,17,0.07413612,0.041548874,0.023143014
patient_3,278,149,0.1,11,0.04556496,0.022769855,0.013828373
patient_3,278,149,0.5,9,0.03019435,0.016538303,0.011440576
patient_3,278,149,1,9,0.024614308,0.015276074,0.010793625
patient_3,279,149,0.01,17,0.07398438,0.041962754,0.023004806
patient_3,279,149,0.1,11,0.045548387,0.022419136,0.013536875
patient_3,279,149,0.5,9,0.029480524,0.014307196,0.008875518
patient_3,279,149,1,9,0.024670163,0.015297436,0.010914479
patient_3,280,149,0.01,17,0.073654145,0.041843362,0.02341696
patient_3,280,149,0.1,11,0.045492195,0.0227984,0.013745344
patient_3,280,149,0.5,9,0.03088124,0.017788192,0.012190344
patient_3,280,149,1,9,0.024705607,0.01534515,0.010767496
patient_3,281,149,0.01,17,0.07351486,0.041590605,0.023171477
patient_3,281,149,0.1,11,0.045675308,0.022915335,0.013770753
patient_3,281,149,0.5,9,0.030172136,0.016464422,0.011425229
patient_3,281,149,1,9,0.023707535,0.012895823,0.008090706
patient_3,282,149,0.01,17,0.07399548,0.0416208,0.023014337
patient_3,282,149,0.1,11,0.04538689,0.022333167,0.013435919
patient_3,282,149,0.5,9,0.030229772,0.016562175,0.011506396
patient_3,282,149,1,9,0.02459689,0.015207481,0.010848506
patient_3,283,149,0.01,17,0.07399139,0.04159166,0.023104826
patient_3,283,149,0.1,11,0.04567341,0.022774396,0.013720519
patient_3,283,149,0.5,9,0.030194314,0.01658559,0.011419381
patient_3,283,149,1,9,0.02460742,0.015202659,0.010797846
patient_3,284,149,0.01,17,0.07431649,0.04165923,0.023034612
patient_3,284,149,0.1,11,0.045584116,0.022724329,0.013737874
patient_3,284,149,0.5,9,0.030265901,0.016528187,0.01140343
patient_3,284,149,1,9,0.024628483,0.015183686,0.010878905
patient_3,285,149,0.01,17,0.07394292,0.0414915,0.023060378
patient_3,285,149,0.1,11,0.045679826,0.022886334,0.013782922
patient_3,285,149,0.5,9,0.030191239,0.016557217,0.011396322
patient_3,285,149,1,9,0.024697166,0.015317129,0.010754545
patient_3,286,149,0.01,17,0.0740618,0.041657902,0.023018215
patient_3,286,149,0.1,11,0.045485385,0.02279194,0.013726739
patient_3,286,149,0.5,9,0.03022555,0.01651791,0.011517613
patient_3,286,149,1,9,0.024608353,0.01519667,0.01081475
patient_3,287,149,0.01,17,0.07428795,0.04167863,0.02290003
patient_3,287,149,0.1,11,0.045753334,0.022683209,0.013772598
patient_3,287,149,0.5,9,0.030849146,0.01772126,0.01217879
patient_3,287,149,1,9,0.02369059,0.012837268,0.00806799
patient_3,288,149,0.01,17,0.07396845,0.041649777,0.022997448
patient_3,288,149,0.1,11,0.045731757,0.02289818,0.013753409
patient_3,288,149,0.5,9,0.030972997,0.017926777,0.012126994
patient_3,288,149,1,9,0.024741413,0.015414851,0.01076965
patient_3,289,149,0.01,17,0.07397091,0.04152155,0.023114122
patient_3,289,149,0.1,11,0.045534447,0.022699377,0.013682855
patient_3,289,149,0.5,9,0.030297887,0.016594168,0.011552164
patient_3,289,149,1,9,0.024669731,0.015238462,0.010843845
patient_3,290,149,0.01,17,0.07391584,0.041698802,0.022930168
patient_3,290,149,0.1,11,0.04565825,0.022753282,0.013916828
patient_3,290,149,0.5,9,0.030910276,0.017800247,0.01214465
patient_3,290,149,1,9,0.024567265,0.015166771,0.010851155
patient_3,291,149,0.01,17,0.07394785,0.041686036,0.02313306
patient_3,291,149,0.1,11,0.045261994,0.022296453,0.013424518
patient_3,291,149,0.5,9,0.030242452,0.016546153,0.011470455
patient_3,291,149,1,9,0.023723008,0.01291345,0.008109391
patient_3,292,149,0.01,17,0.073392235,0.041601107,0.023154635
patient_3,292,149,0.1,11,0.045687683,0.022685397,0.013789606
patient_3,292,149,0.5,9,0.030133756,0.016524693,0.011554784
patient_3,292,149,1,9,0.023689315,0.012856453,0.00814168
patient_3,293,149,0.01,17,0.07425702,0.04179023,0.023067659
patient_3,293,149,0.1,11,0.04561423,0.022729767,0.013822586
patient_3,293,149,0.5,9,0.030869212,0.017818354,0.01216195
patient_3,293,149,1,9,0.024610864,0.015198614,0.010825587
patient_3,294,149,0.01,17,0.07369744,0.041742135,0.023275992
patient_3,294,149,0.1,11,0.045801114,0.022776963,0.013759241
patient_3,294,149,0.5,9,0.03022911,0.01651045,0.011389668
patient_3,294,149,1,9,0.024623897,0.015217807,0.010792924
patient_3,295,149,0.01,17,0.07454679,0.041368704,0.02293226
patient_3,295,149,0.1,11,0.045617253,0.022729004,0.013787907
patient_3,295,149,0.5,9,0.030900177,0.017822951,0.012114507
patient_3,295,149,1,9,0.024645949,0.015267605,0.010796753
patient_3,296,149,0.01,17,0.07400106,0.04152598,0.022950836
patient_3,296,149,0.1,11,0.04555981,0.02277004,0.013686495
patient_3,296,149,0.5,9,0.03028298,0.016614236,0.01136619
patient_3,296,149,1,9,0.02371428,0.012877508,0.008096281
patient_3,297,149,0.01,17,0.074236095,0.04179159,0.023219872
patient_3,297,149,0.1,11,0.04569056,0.022833759,0.013764055
patient_3,297,149,0.5,9,0.03022368,0.016472733,0.011454777
patient_3,297,149,1,9,0.024621585,0.015237113,0.010792668
patient_3,298,149,0.01,17,0.07398033,0.04159746,0.023078019
patient_3,298,149,0.1,11,0.04559846,0.022892926,0.013740479
patient_3,298,149,0.5,9,0.03027452,0.016537214,0.011416995
patient_3,298,149,1,9,0.024615085,0.015190428,0.010797139
patient_3,299,149,0.01,17,0.07410509,0.041973133,0.023203237
patient_3,299,149,0.1,11,0.04534311,0.022289252,0.013408393
patient_3,299,149,0.5,9,0.030943815,0.01783941,0.012119029
patient_3,299,149,1,9,0.024625324,0.015238387,0.010851358
patient_3,300,149,0.01,17,0.07407114,0.04162969,0.02316856
patient_3,300,149,0.1,11,0.04562798,0.022841237,0.013660809
patient_3,300,149,0.5,9,0.029396133,0.014256277,0.00884238
patient_3,300,149,1,9,0.023700204,0.012852036,0.008077071
patient_3,301,149,0.01,17,0.07397029,0.041550763,0.023119625
patient_3,301,149,0.1,11,0.04558599,0.022886114,0.013746122
patient_3,301,149,0.5,9,0.030227428,0.016501272,0.011401712
patient_3,301,149,1,9,0.024590258,0.015201224,0.010844363
patient_3,302,149,0.01,19,0.0655348,0.041666377,0.022858728
patient_3,302,149,0.1,13,0.038932268,0.023139471,0.013431708
patient_3,302,149,0.5,11,0.02684169,0.01741014,0.01112146
patient_3,302,149,1,9,0.02469146,0.015298991,0.0108231
patient_3,303,149,0.01,17,0.07404009,0.041276176,0.02295746
patient_3,303,149,0.1,11,0.045603164,0.022721304,0.013734282
patient_3,303,149,0.5,9,0.03020574,0.016549185,0.011460936
patient_3,303,149,1,9,0.023710102,0.0128738,0.008077689
patient_3,304,149,0.01,17,0.07363672,0.041522425,0.02288218
patient_3,304,149,0.1,11,0.04537477,0.022177896,0.013414483
patient_3,304,149,0.5,9,0.030247645,0.016507348,0.011553356
patient_3,304,149,1,9,0.023686511,0.012841982,0.008086604
patient_3,305,149,0.01,17,0.07386514,0.041293975,0.02316912
patient_3,305,149,0.1,11,0.045354895,0.022188943,0.013470531
patient_3,305,149,0.5,9,0.03026591,0.01654791,0.011413094
patient_3,305,149,1,9,0.02464202,0.015233267,0.01083657
patient_3,306,149,0.01,17,0.074056245,0.041471876,0.02317692
patient_3,306,149,0.1,11,0.045548726,0.02281452,0.013720913
patient_3,306,149,0.5,9,0.030967904,0.017871233,0.012184696
patient_3,306,149,1,9,0.02558236,0.01672214,0.011824349
patient_3,307,149,0.01,17,0.07410015,0.041614957,0.02286479
patient_3,307,149,0.1,11,0.045529503,0.022706445,0.013886038
patient_3,307,149,0.5,9,0.030268904,0.016514309,0.011400233
patient_3,307,149,1,9,0.02368174,0.012830899,0.008095837
patient_3,308,149,0.01,17,0.07399551,0.041259084,0.02275944
patient_3,308,149,0.1,11,0.045664277,0.022977484,0.013769061
patient_3,308,149,0.5,9,0.030194143,0.016496452,0.011569825
patient_3,308,149,1,9,0.023685124,0.012826981,0.008052629
patient_3,309,149,0.01,17,0.07415358,0.041483488,0.023010068
patient_3,309,149,0.1,11,0.045395575,0.022160022,0.013420153
patient_3,309,149,0.5,9,0.030833265,0.017753555,0.01220761
patient_3,309,149,1,9,0.024625584,0.015202922,0.010872987
patient_3,310,149,0.01,17,0.07398427,0.041209776,0.023037491
patient_3,310,149,0.1,11,0.045742605,0.022998432,0.013733685
patient_3,310,149,0.5,9,0.030861154,0.0178037,0.012151156
patient_3,310,149,1,9,0.024668416,0.015270846,0.010835112
patient_3,311,149,0.01,17,0.074597776,0.041594397,0.02323192
patient_3,311,149,0.1,11,0.04567725,0.022825418,0.013755718
patient_3,311,149,0.5,9,0.029449645,0.014181952,0.008773864
patient_3,311,149,1,9,0.023702003,0.012823099,0.008025012
patient_3,312,149,0.01,17,0.07443085,0.041882515,0.02336443
patient_3,312,149,0.1,11,0.04544821,0.022272427,0.013428801
patient_3,312,149,0.5,9,0.029434996,0.014209901,0.008840843
patient_3,312,149,1,9,0.02462993,0.015243649,0.010810207
patient_3,313,149,0.01,17,0.073668875,0.0415662,0.023096446
patient_3,313,149,0.1,11,0.04559359,0.022804413,0.013766417
patient_3,313,149,0.5,9,0.030239973,0.016573902,0.011434682
patient_3,313,149,1,9,0.024616474,0.015216574,0.010889596
patient_3,314,149,0.01,17,0.07399176,0.041547317,0.023220137
patient_3,314,149,0.1,11,0.04538913,0.022239164,0.01342677
patient_3,314,149,0.5,9,0.030223358,0.016622024,0.011444707
patient_3,314,149,1,9,0.024606993,0.015218455,0.01083219
patient_3,315,149,0.01,17,0.074108355,0.041364588,0.023129884
patient_3,315,149,0.1,11,0.04551706,0.02269031,0.013757477
patient_3,315,149,0.5,9,0.030289024,0.016666595,0.011367484
patient_3,315,149,1,9,0.023731587,0.012931071,0.008143968
patient_3,316,149,0.01,17,0.07421715,0.04157454,0.022916863
patient_3,316,149,0.1,11,0.045595955,0.022713367,0.013649078
patient_3,316,149,0.5,9,0.030943451,0.017808855,0.012069314
patient_3,316,149,1,9,0.024606157,0.015193775,0.010783702
patient_3,317,149,0.01,17,0.07379379,0.04154374,0.022617979
patient_3,317,149,0.1,11,0.04565998,0.022731721,0.013810064
patient_3,317,149,0.5,9,0.030856656,0.017729746,0.012244488
patient_3,317,149,1,9,0.024689507,0.015313397,0.010815432
patient_3,318,149,0.01,17,0.07360282,0.041515954,0.022998318
patient_3,318,149,0.1,11,0.045773435,0.02300836,0.013789836
patient_3,318,149,0.5,9,0.030247625,0.016555805,0.011538059
patient_3,318,149,1,9,0.023690252,0.012846506,0.008078684
patient_3,319,149,0.01,17,0.07393679,0.0413477,0.023046467
patient_3,319,149,0.1,11,0.04556122,0.022729017,0.013664208
patient_3,319,149,0.5,9,0.030783081,0.017696997,0.012227705
patient_3,319,149,1,9,0.024650034,0.015275477,0.010899864
patient_3,320,149,0.01,17,0.074052565,0.041659612,0.023201408
patient_3,320,149,0.1,11,0.04555791,0.022747487,0.013769172
patient_3,320,149,0.5,9,0.029395089,0.014225177,0.008855649
patient_3,320,149,1,9,0.023665652,0.012832888,0.008088373
patient_3,321,149,0.01,17,0.07402426,0.04151971,0.023332095
patient_3,321,149,0.1,11,0.045751475,0.022680517,0.013715321
patient_3,321,149,0.5,9,0.030881917,0.017739957,0.012130077
patient_3,321,149,1,9,0.025639802,0.016772334,0.011797401
patient_3,322,149,0.01,17,0.07398258,0.041614663,0.023215326
patient_3,322,149,0.1,11,0.045644823,0.022820378,0.01375747
patient_3,322,149,0.5,9,0.030879566,0.017726084,0.01217215
patient_3,322,149,1,9,0.024666132,0.015246574,0.010789104
patient_3,323,149,0.01,17,0.07370669,0.041409843,0.022874514
patient_3,323,149,0.1,11,0.045460954,0.022733714,0.013854326
patient_3,323,149,0.5,9,0.030198973,0.016487053,0.011475385
patient_3,323,149,1,9,0.024643712,0.015242836,0.010817226
patient_3,324,149,0.01,17,0.073836155,0.04157536,0.022946244
patient_3,324,149,0.1,11,0.04552406,0.022846937,0.013749757
patient_3,324,149,0.5,9,0.030202562,0.016553044,0.011547713
patient_3,324,149,1,9,0.024645375,0.015253669,0.010881621
